gaze_x,gaze_y,inout_score,in_frame,head_box_xmin,head_box_ymin,head_box_xmax,head_box_ymax,distance_from_center,json_path,person_id,label,frame_file
32,35,0.001112035708501935,False,351.9375,281.625,1080.5625,720.0,3.0,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0010_gaze.json,person_1,scripted,frame_0010_gaze.json
32,36,0.0017342220526188612,False,355.75,285.09375,1080.75,715.40625,4.0,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0011_gaze.json,person_1,scripted,frame_0011_gaze.json
16,49,0.0006140220793895423,False,356.4375,283.28125,1085.0625,719.21875,23.345235059857504,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0012_gaze.json,person_1,scripted,frame_0012_gaze.json
15,49,0.002729007974267006,False,360.625,282.09375,1091.875,720.0,24.041630560342615,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0013_gaze.json,person_1,scripted,frame_0013_gaze.json
15,48,0.000434067624155432,False,368.125,282.03125,1085.875,717.96875,23.345235059857504,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0014_gaze.json,person_1,scripted,frame_0014_gaze.json
19,52,0.00020752978161908686,False,365.375,279.625,1083.125,718.375,23.853720883753127,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0015_gaze.json,person_1,scripted,frame_0015_gaze.json
20,52,0.00035876670153811574,False,367.875,284.03125,1085.625,719.96875,23.323807579381203,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0016_gaze.json,person_1,scripted,frame_0016_gaze.json
34,36,0.00013327276974450797,False,375.125,283.28125,1092.875,719.21875,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0017_gaze.json,person_1,scripted,frame_0017_gaze.json
34,36,2.8082840799470432e-05,False,371.1875,281.03125,1099.8125,716.96875,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0018_gaze.json,person_1,scripted,frame_0018_gaze.json
31,38,4.748127321363427e-05,False,369.1875,281.78125,1097.8125,717.71875,6.082762530298219,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0019_gaze.json,person_1,scripted,frame_0019_gaze.json
16,49,0.00015523839101660997,False,367.1875,283.03125,1095.8125,718.96875,23.345235059857504,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0020_gaze.json,person_1,scripted,frame_0020_gaze.json
32,37,9.26583306863904e-05,False,362.8125,286.34375,1098.6875,716.65625,5.0,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0021_gaze.json,person_1,scripted,frame_0021_gaze.json
17,49,3.377566099516116e-05,False,360.3125,283.78125,1096.1875,719.71875,22.67156809750927,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0022_gaze.json,person_1,scripted,frame_0022_gaze.json
33,36,7.230093615362421e-05,False,361.8125,288.0,1097.6875,715.5,4.123105625617661,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0023_gaze.json,person_1,scripted,frame_0023_gaze.json
33,37,5.589536885963753e-05,False,368.4375,280.78125,1097.0625,716.71875,5.0990195135927845,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0024_gaze.json,person_1,scripted,frame_0024_gaze.json
34,36,0.00014402483066078275,False,368.4375,279.625,1097.0625,718.375,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0025_gaze.json,person_1,scripted,frame_0025_gaze.json
34,36,3.9424761780537665e-05,False,369.25,278.125,1094.25,716.875,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0026_gaze.json,person_1,scripted,frame_0026_gaze.json
34,36,0.0024463278241455555,False,366.25,280.03125,1091.25,715.96875,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0027_gaze.json,person_1,scripted,frame_0027_gaze.json
34,36,0.0013096112525090575,False,369.5,279.625,1094.5,718.375,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0028_gaze.json,person_1,scripted,frame_0028_gaze.json
34,36,6.927175854798406e-05,False,368.4375,280.125,1097.0625,718.875,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0029_gaze.json,person_1,scripted,frame_0029_gaze.json
33,37,1.162866010417929e-05,False,366.75,279.375,1091.75,718.125,5.0990195135927845,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0030_gaze.json,person_1,scripted,frame_0030_gaze.json
34,36,1.4169509995554108e-05,False,363.125,279.84375,1094.375,719.15625,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0031_gaze.json,person_1,scripted,frame_0031_gaze.json
34,36,2.762859730864875e-05,False,368.1875,279.625,1096.8125,718.375,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0032_gaze.json,person_1,scripted,frame_0032_gaze.json
34,36,4.1423474613111466e-05,False,370.75,279.625,1095.75,718.375,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0033_gaze.json,person_1,scripted,frame_0033_gaze.json
34,36,1.5112867004063446e-05,False,374.875,280.875,1092.625,719.625,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0034_gaze.json,person_1,scripted,frame_0034_gaze.json
34,36,3.31176670442801e-05,False,374.875,281.375,1092.625,720.0,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0035_gaze.json,person_1,scripted,frame_0035_gaze.json
34,36,3.1401672458741814e-05,False,370.75,281.78125,1095.75,717.71875,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0036_gaze.json,person_1,scripted,frame_0036_gaze.json
34,36,1.3842888620274607e-05,False,374.375,280.28125,1092.125,716.21875,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0037_gaze.json,person_1,scripted,frame_0037_gaze.json
33,37,5.304593651089817e-05,False,371.5,281.78125,1096.5,717.71875,5.0990195135927845,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0038_gaze.json,person_1,scripted,frame_0038_gaze.json
32,37,4.210185943520628e-05,False,369.75,284.59375,1094.75,714.90625,5.0,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0039_gaze.json,person_1,scripted,frame_0039_gaze.json
20,43,9.49439563555643e-05,False,370.4921875,289.5859375,1099.0078125,714.9140625,16.278820596099706,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0040_gaze.json,person_1,scripted,frame_0040_gaze.json
20,43,9.584561485098675e-05,False,375.875,285.59375,1093.625,715.90625,16.278820596099706,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0041_gaze.json,person_1,scripted,frame_0041_gaze.json
20,43,0.00014576371177099645,False,368.9375,286.84375,1097.5625,717.15625,16.278820596099706,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0042_gaze.json,person_1,scripted,frame_0042_gaze.json
33,37,4.90327256557066e-05,False,371.0,285.59375,1096.0,715.90625,5.0990195135927845,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0043_gaze.json,person_1,scripted,frame_0043_gaze.json
33,37,5.2820396376773715e-05,False,371.5,284.34375,1096.5,714.65625,5.0990195135927845,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0044_gaze.json,person_1,scripted,frame_0044_gaze.json
20,43,0.003227989189326763,False,375.0,285.09375,1100.0,715.40625,16.278820596099706,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0045_gaze.json,person_1,scripted,frame_0045_gaze.json
34,36,0.005914709530770779,False,376.625,282.03125,1094.375,717.96875,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0046_gaze.json,person_1,scripted,frame_0046_gaze.json
34,36,0.0006103834602981806,False,379.625,279.78125,1097.375,715.71875,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0047_gaze.json,person_1,scripted,frame_0047_gaze.json
34,36,0.0007604111451655626,False,377.125,280.78125,1094.875,716.71875,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0048_gaze.json,person_1,scripted,frame_0048_gaze.json
15,47,0.00042818213114514947,False,381.25,280.375,1091.75,719.125,22.67156809750927,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0049_gaze.json,person_1,scripted,frame_0049_gaze.json
15,47,0.006738526746630669,False,372.6875,282.125,1101.3125,720.0,22.67156809750927,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0050_gaze.json,person_1,scripted,frame_0050_gaze.json
15,48,0.014721841551363468,False,372.75,289.0,1097.75,716.5,23.345235059857504,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0051_gaze.json,person_1,scripted,frame_0051_gaze.json
14,51,0.1181299239397049,False,374.0,287.09375,1099.0,717.40625,26.1725046566048,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0052_gaze.json,person_1,scripted,frame_0052_gaze.json
15,50,0.0351133793592453,False,371.0,282.78125,1096.0,718.71875,24.758836806279895,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0053_gaze.json,person_1,scripted,frame_0053_gaze.json
20,43,0.00028813027893193066,False,378.125,283.28125,1095.875,719.21875,16.278820596099706,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0054_gaze.json,person_1,scripted,frame_0054_gaze.json
34,36,0.0005133599042892456,False,378.125,284.09375,1095.875,714.40625,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0055_gaze.json,person_1,scripted,frame_0055_gaze.json
34,36,0.00012954420526511967,False,378.625,281.53125,1096.375,717.46875,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0056_gaze.json,person_1,scripted,frame_0056_gaze.json
15,49,0.0002115708339260891,False,381.625,281.28125,1099.375,717.21875,24.041630560342615,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0057_gaze.json,person_1,scripted,frame_0057_gaze.json
34,36,1.589615385455545e-05,False,375.1875,278.125,1103.8125,716.875,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0058_gaze.json,person_1,scripted,frame_0058_gaze.json
34,35,0.0010972630698233843,False,377.5625,279.125,1113.4375,717.875,3.605551275463989,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0059_gaze.json,person_1,scripted,frame_0059_gaze.json
34,35,0.0017285016365349293,False,377.0625,278.375,1112.9375,717.125,3.605551275463989,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0060_gaze.json,person_1,scripted,frame_0060_gaze.json
20,54,0.00014939700486138463,False,380.625,282.34375,1098.375,712.65625,25.059928172283335,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0061_gaze.json,person_1,scripted,frame_0061_gaze.json
33,37,6.751300679752603e-05,False,361.1875,282.84375,1089.8125,713.15625,5.0990195135927845,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0062_gaze.json,person_1,scripted,frame_0062_gaze.json
20,43,0.00024531519738957286,False,359.0625,282.53125,1094.9375,718.46875,16.278820596099706,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0063_gaze.json,person_1,scripted,frame_0063_gaze.json
20,44,0.0002060545375570655,False,363.3125,287.84375,1099.1875,718.15625,16.97056274847714,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0064_gaze.json,person_1,scripted,frame_0064_gaze.json
18,50,0.0009149357792921364,False,361.8125,288.09375,1097.6875,718.40625,22.80350850198276,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0065_gaze.json,person_1,scripted,frame_0065_gaze.json
18,50,0.0005332684959284961,False,367.7421875,286.7890625,1096.2578125,717.2109375,22.80350850198276,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0066_gaze.json,person_1,scripted,frame_0066_gaze.json
19,43,0.0003310939355287701,False,355.9375,281.78125,1099.0625,717.71875,17.029386365926403,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0067_gaze.json,person_1,scripted,frame_0067_gaze.json
42,63,0.0019025664078071713,False,353.0,281.7421875,1099.0,717.2578125,32.57299494980466,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0068_gaze.json,person_1,scripted,frame_0068_gaze.json
33,36,0.0007971051381900907,False,356.875,284.59375,1118.125,714.90625,4.123105625617661,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0069_gaze.json,person_1,scripted,frame_0069_gaze.json
31,38,0.00028568104607984424,False,357.1875,283.03125,1172.8125,718.96875,6.082762530298219,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0070_gaze.json,person_1,scripted,frame_0070_gaze.json
32,36,0.0011918270029127598,False,364.3125,286.59375,1100.1875,716.90625,4.0,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0071_gaze.json,person_1,scripted,frame_0071_gaze.json
34,35,0.001638235175050795,False,366.75,280.78125,1091.75,716.71875,3.605551275463989,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0072_gaze.json,person_1,scripted,frame_0072_gaze.json
34,36,6.760513497283682e-05,False,361.6875,281.53125,1104.8125,717.46875,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0073_gaze.json,person_1,scripted,frame_0073_gaze.json
14,50,0.00012830721971113235,False,359.3125,283.28125,1095.1875,719.21875,25.45584412271571,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0074_gaze.json,person_1,scripted,frame_0074_gaze.json
20,54,0.00022704510774929076,False,357.4375,285.84375,1100.5625,716.15625,25.059928172283335,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0075_gaze.json,person_1,scripted,frame_0075_gaze.json
19,50,0.0008887740550562739,False,361.1875,280.125,1089.8125,718.875,22.20360331117452,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0076_gaze.json,person_1,scripted,frame_0076_gaze.json
32,37,6.288158328970894e-05,False,365.9921875,282.4921875,1094.5078125,718.0078125,5.0,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0077_gaze.json,person_1,scripted,frame_0077_gaze.json
32,36,0.0014774645678699017,False,359.5625,275.5625,1095.4375,719.9375,4.0,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0078_gaze.json,person_1,scripted,frame_0078_gaze.json
20,54,0.0011808978160843253,False,365.9921875,283.7421875,1094.5078125,719.2578125,25.059928172283335,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0079_gaze.json,person_1,scripted,frame_0079_gaze.json
19,54,0.00012965296627953649,False,367.4375,283.28125,1096.0625,719.21875,25.553864678361276,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0080_gaze.json,person_1,scripted,frame_0080_gaze.json
19,54,0.0003600189811550081,False,368.40625,284.2890625,1091.09375,714.7109375,25.553864678361276,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0081_gaze.json,person_1,scripted,frame_0081_gaze.json
31,38,0.00022028203238733113,False,359.5625,282.78125,1095.4375,718.71875,6.082762530298219,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0082_gaze.json,person_1,scripted,frame_0082_gaze.json
20,54,8.946502930484712e-05,False,362.5625,282.78125,1098.4375,718.71875,25.059928172283335,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0083_gaze.json,person_1,scripted,frame_0083_gaze.json
20,51,5.967170000076294e-05,False,370.6875,283.59375,1099.3125,713.90625,22.47220505424423,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0084_gaze.json,person_1,scripted,frame_0084_gaze.json
33,37,5.3915984608465806e-05,False,373.1875,282.84375,1101.8125,713.15625,5.0990195135927845,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0085_gaze.json,person_1,scripted,frame_0085_gaze.json
34,36,7.381392788374797e-05,False,375.0,282.03125,1100.0,717.96875,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0086_gaze.json,person_1,scripted,frame_0086_gaze.json
34,36,1.3908018445363268e-05,False,368.078125,285.0390625,1102.421875,715.4609375,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0087_gaze.json,person_1,scripted,frame_0087_gaze.json
21,44,8.649387018522248e-05,False,372.1875,283.78125,1100.8125,719.71875,16.278820596099706,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0088_gaze.json,person_1,scripted,frame_0088_gaze.json
32,37,4.5495209633372724e-05,False,371.25,283.28125,1096.25,719.21875,5.0,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0089_gaze.json,person_1,scripted,frame_0089_gaze.json
21,44,0.0001281059958273545,False,366.3125,283.78125,1102.1875,719.71875,16.278820596099706,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0090_gaze.json,person_1,scripted,frame_0090_gaze.json
21,54,0.005017994437366724,False,369.9375,282.28125,1098.5625,718.21875,24.596747752497688,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0091_gaze.json,person_1,scripted,frame_0091_gaze.json
21,53,0.0006047808565199375,False,368.0625,280.375,1103.9375,719.125,23.706539182259394,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0092_gaze.json,person_1,scripted,frame_0092_gaze.json
20,54,0.004359959624707699,False,361.0625,282.03125,1096.9375,717.96875,25.059928172283335,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0093_gaze.json,person_1,scripted,frame_0093_gaze.json
20,54,0.004434491507709026,False,365.9375,280.875,1094.5625,719.625,25.059928172283335,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0094_gaze.json,person_1,scripted,frame_0094_gaze.json
20,54,0.0004975998890586197,False,366.9375,280.375,1095.5625,719.125,25.059928172283335,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0095_gaze.json,person_1,scripted,frame_0095_gaze.json
32,37,0.00023015665647108108,False,366.4375,284.03125,1095.0625,719.96875,5.0,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0096_gaze.json,person_1,scripted,frame_0096_gaze.json
32,37,8.044361311476678e-05,False,371.5,282.78125,1096.5,718.71875,5.0,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0097_gaze.json,person_1,scripted,frame_0097_gaze.json
19,54,0.00011852208263007924,False,369.5,286.59375,1094.5,716.90625,25.553864678361276,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0098_gaze.json,person_1,scripted,frame_0098_gaze.json
20,54,0.0003983689530286938,False,364.0625,282.78125,1099.9375,718.71875,25.059928172283335,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0099_gaze.json,person_1,scripted,frame_0099_gaze.json
20,54,0.0010092450538650155,False,366.1875,280.125,1094.8125,718.875,25.059928172283335,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0100_gaze.json,person_1,scripted,frame_0100_gaze.json
32,37,0.00028987880796194077,False,367.078125,285.7890625,1101.421875,716.2109375,5.0,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0101_gaze.json,person_1,scripted,frame_0101_gaze.json
20,54,0.00015751855971757323,False,372.5,286.34375,1097.5,716.65625,25.059928172283335,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0102_gaze.json,person_1,scripted,frame_0102_gaze.json
34,37,0.0026990382466465235,False,375.625,282.53125,1093.375,718.46875,5.385164807134504,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0103_gaze.json,person_1,scripted,frame_0103_gaze.json
34,36,0.0012074916157871485,False,377.125,280.28125,1094.875,716.21875,4.47213595499958,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0104_gaze.json,person_1,scripted,frame_0104_gaze.json
34,37,0.00016846887592691928,False,375.0,280.03125,1100.0,715.96875,5.385164807134504,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0105_gaze.json,person_1,scripted,frame_0105_gaze.json
34,37,0.00011413369793444872,False,374.0,282.03125,1099.0,717.96875,5.385164807134504,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0106_gaze.json,person_1,scripted,frame_0106_gaze.json
33,37,7.239863043650985e-05,False,371.75,282.78125,1096.75,718.71875,5.0990195135927845,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0107_gaze.json,person_1,scripted,frame_0107_gaze.json
33,37,0.00012307283759582788,False,371.0,283.28125,1096.0,719.21875,5.0990195135927845,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0108_gaze.json,person_1,scripted,frame_0108_gaze.json
33,37,0.00015593715943396091,False,369.1875,285.84375,1097.8125,716.15625,5.0990195135927845,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0109_gaze.json,person_1,scripted,frame_0109_gaze.json
19,56,0.00042540053254924715,False,363.3125,281.78125,1099.1875,717.71875,27.294688127912362,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0110_gaze.json,person_1,scripted,frame_0110_gaze.json
21,53,0.00011441832612035796,False,364.4375,282.78125,1093.0625,718.71875,23.706539182259394,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0111_gaze.json,person_1,scripted,frame_0111_gaze.json
34,37,0.00010161791578866541,False,370.1875,282.28125,1098.8125,718.21875,5.385164807134504,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0112_gaze.json,person_1,scripted,frame_0112_gaze.json
32,38,0.00018738620565272868,False,373.0,283.28125,1098.0,719.21875,6.0,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0113_gaze.json,person_1,scripted,frame_0113_gaze.json
32,38,4.133862967137247e-05,False,371.6875,283.03125,1100.3125,718.96875,6.0,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0114_gaze.json,person_1,scripted,frame_0114_gaze.json
32,38,1.1104915756732225e-05,False,373.6875,285.09375,1102.3125,715.40625,6.0,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0115_gaze.json,person_1,scripted,frame_0115_gaze.json
34,37,4.1698374843690544e-05,False,373.6875,285.59375,1102.3125,715.90625,5.385164807134504,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0116_gaze.json,person_1,scripted,frame_0116_gaze.json
33,37,2.4702089831407648e-06,False,367.5625,282.78125,1103.4375,718.71875,5.0990195135927845,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0117_gaze.json,person_1,scripted,frame_0117_gaze.json
32,37,6.999991910561221e-06,False,367.5625,286.84375,1103.4375,717.15625,5.0,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0118_gaze.json,person_1,scripted,frame_0118_gaze.json
20,56,0.0018834727816283703,False,363.8125,287.59375,1099.6875,717.90625,26.832815729997478,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0119_gaze.json,person_1,scripted,frame_0119_gaze.json
20,54,0.0010249989572912455,False,369.0,283.78125,1094.0,719.71875,25.059928172283335,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0120_gaze.json,person_1,scripted,frame_0120_gaze.json
